"Kod";"Nazwa";"Typy upraw";"Zakres przedmiotowy";"Rodzaje własności";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0000000;"POLSKA";"owies";"plony z 1 ha";"ogółem";"2013";27,4;"dt";"";
0000000;"POLSKA";"owies";"plony z 1 ha";"ogółem";"2014";30,5;"dt";"";
0000000;"POLSKA";"owies";"plony z 1 ha";"ogółem";"2015";26,5;"dt";"";
0000000;"POLSKA";"owies";"plony z 1 ha";"ogółem";"2016";28,4;"dt";"";
0000000;"POLSKA";"owies";"plony z 1 ha";"ogółem";"2017";29,8;"dt";"";
0000000;"POLSKA";"owies";"plony z 1 ha";"ogółem";"2018";23,5;"dt";"";
0000000;"POLSKA";"owies";"plony z 1 ha";"ogółem";"2019";24,9;"dt";"";
0000000;"POLSKA";"owies";"plony z 1 ha";"ogółem";"2020";33,1;"dt";"";
0000000;"POLSKA";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2013";27,3;"dt";"";
0000000;"POLSKA";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2014";30,3;"dt";"";
0000000;"POLSKA";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2015";26,3;"dt";"";
0000000;"POLSKA";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2016";28,3;"dt";"";
0000000;"POLSKA";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2017";29,6;"dt";"";
0000000;"POLSKA";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2018";23,4;"dt";"";
0000000;"POLSKA";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2019";24,7;"dt";"";
0000000;"POLSKA";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2020";33,0;"dt";"";
0200000;"DOLNOŚLĄSKIE";"owies";"plony z 1 ha";"ogółem";"2013";30,6;"dt";"";
0200000;"DOLNOŚLĄSKIE";"owies";"plony z 1 ha";"ogółem";"2014";34,6;"dt";"";
