year,pIV,pV,pVI,pVII,pIV-VII,tIV,tV,tVI,tVII,tIV-VII,yields
1985,21.5,46.8,59.5,24.5,152.3,7.5,14.9,14.3,18.0,13.7,41.40
1986,32.6,53.3,83.7,56.8,226.4,7.4,14.7,16.2,18.0,14.4,58.80
1987,28.0,26.0,82.3,111.3,247.6,8.0,10.9,15.0,17.1,12.8,57.40
1988,28.9,23.3,151.5,103.3,307.0,8.0,15.4,16.5,18.7,14.7,30.70
1989,25.9,8.8,47.5,75.9,158.1,8.7,14.5,16.1,18.4,14.4,37.10
1990,49.9,21.8,109.1,45.6,226.4,8.0,14.3,16.5,17.0,14.0,52.80
1994,47.5,66.4,34.3,63.5,211.7,9.1,12.0,15.2,21.9,14.7,43.08
1995,12.0,77.6,89.1,16.3,195.0,8.2,12.7,16.0,21.0,14.5,56.11
1996,13.8,74.2,33.8,216.2,351.8,8.3,12.7,16.4,15.8,13.3,50.25
1997,39.9,67.6,47.4,177.4,332.3,5.5,12.9,17.0,18.0,13.4,58.25
